Transactions in Date Sequence (continued),,,,,,,
Process/ Trade/,,,,,,,
Settlement Transaction,,,,,,,
Date Date Activity Type,Description,,Quantity,Price,Accrued Interest,Amount,Currency
03/29/19 DIVIDEND/INTEREST,DIV ADJ ON800 ETF MANAGERS TR ETFMG,,,,,-96.00,USD
RECLASSIFICATION,ALTERNATIVE HARVEST ETF RD03/27/19PD03/29/19,,,,,,
MJ,,,,,,,
03/29/19 CASH DIVIDEND RECEIVED,800 SHRS ETF MANAGERS TR ETFMG ALTERNATIVE,,,,,96.00,USD
MJ,HARVEST ETF RD 03/27 PD 03/29/19,,,,,,
03/29/19 NON-RESIDENT ALIEN TAX,NRA TAX WITHHELD ON 800 SHRS ETF MANAGERS TR,,,,,-28.80,USD
MJ,ETFMG ALTERNATIVE HARVEST ETF RD 03/27 PD,,,,,,
,03/29/19,,,,,,
03/29/19 SUBSTITUTE PAYMENT,SUB PAY ON800 ETF MANAGERS TR ETFMG,,,,,96.00,USD
MJ,ALTERNATIVE HARVEST ETF RD03/27/19PD03/29/19,,,,,,
"04/02/19 04/01/19 SOLD SHORT,CALL 100 APPLE INC COM EXP 04-12-19@197.500 OPTION,,-31.000,0.4800,,""1,384.78"",USD"
99QAPCU1T,ROOT= AAPL OPENING TRANSACTION EXCHANGE LISTED,,,,,,
,OPTION AVERAGE UNIT PRICE,,,,,,
"04/02/19 04/01/19 SOLD SHORT,CALL 100 NETFLIX INC COM EXP 04-12-19@380.000,,-10.000,1.8100,,""1,707.58"",USD"
99QAPDBP4,OPTION ROOT= NFLX OPENING TRANSACTION EXCHANGE,,,,,,
,LISTED OPTION AVERAGE UNIT PRICE,,,,,,
04/02/19 04/01/19 SOLD SHORT,CALL 100 TWITTER INC COM EXP 04-12-19@35.000,,-54.000,0.2000,,913.88,USD
99QAPDI1M,OPTION ROOT= TWTR OPENING TRANSACTION,,,,,,
,EXCHANGE LISTED OPTION AVERAGE UNIT PRICE,,,,,,
"04/08/19 04/04/19 PURCHASED,PROSHARES TR SHORT S&P 500 NEW AVERAGE UNIT,,""9,000.000"",27.2800,,""-245,792.00"",USD"
SH,PRICE TRANSACTION YOUR BROKER ACTED AS AGENT,,,,,,
04/08/19 YOUR OPTION EXPIRED,AAPL 04052019 P 187. 5 CREDIT ACCOUNT,,-31.000,,,0.00,USD
99QAPBHM3,,,,,,,
"04/09/19 04/08/19 PURCHASED,CALL 100 APPLE INC COM EXP 04-12-19@197.500 OPTION,,31.000,3.2500,,""-10,178.20"",USD"
99QAPCU1T,ROOT= AAPL CLOSING TRANSACTION EXCHANGE LISTED,,,,,,
,OPTION AVERAGE UNIT PRICE,,,,,,
"04/09/19 04/08/19 SOLD SHORT,CALL 100 APPLE INC COM EXP 04-12-19@205.000,,-31.000,0.4223,,""1,205.91"",USD"
99QAPCU1W,OPTION ROOT= AAPL OPENING TRANSACTION,,,,,,
,EXCHANGE LISTED OPTION AVERAGE UNIT PRICE,,,,,,
"04/15/19 04/12/19 SOLD SHORT,CALL 100 NETFLIX INC COM EXP 04-26-19@380.000,,-10.000,4.8000,,""4,697.54"",USD"
99QAPEI7Y,OPTION ROOT= NFLX OPENING TRANSACTION EXCHANGE,,,,,,
,LISTED OPTION AVERAGE UNIT PRICE,,,,,,
Transactions in Date Sequence (continued),,,,,,
Process/ Trade/,,,,,,
Settlement Transaction,,,,,,
Date Date Activity Type,Description,Quantity,Price,Accrued Interest,Amount,Currency
04/15/19 YOUR OPTION EXPIRED,AAPL 04122019 C 205 CORPORATE ACTIONS -,31.000,,,0.00,USD
99QAPCU1W,,,,,,
04/15/19 YOUR OPTION EXPIRED,NFLX 04122019 C 380 CORPORATE ACTIONS -,10.000,,,0.00,USD
99QAPDBP4,,,,,,
04/15/19 YOUR OPTION EXPIRED,TWTR 04122019 C 35 C ORPORATE ACTIONS -,54.000,,,0.00,USD
99QAPDI1M,,,,,,
"04/16/19 04/12/19 PURCHASED,PETROLEO BRASILEIRO SA PETROBRAS SPONSORED ADR,""13,000.000"",15.4161,,""-200,801.30"",USD"
PBR,AVERAGE UNIT PRICE TRANSACTION YOUR BROKER,,,,,
,ACTED AS AGENT,,,,,
"04/17/19 04/16/19 PURCHASED,CALL 100 NETFLIX INC COM EXP 04-26-19@380.000,10.000,7.5000,,""-7,602.39"",USD"
99QAPEI7Y,OPTION ROOT= NFLX CLOSING TRANSACTION EXCHANGE,,,,,
,LISTED OPTION AVERAGE UNIT PRICE,,,,,
"04/17/19 04/16/19 PURCHASED,PUT 100 NETFLIX INC COM EXP 04-26-19@360.000,10.000,12.8500,,""-12,952.39"",USD"
99QAPEI8W,OPTION ROOT= NFLX OPENING TRANSACTION EXCHANGE,,,,,
,LISTED OPTION AVERAGE UNIT PRICE,,,,,
"04/22/19 04/19/19 INT. CHARGED ON DEBIT,MARGIN INTEREST FOR 31 DEBIT DAYS AV BAL,,,,""-2,581.87"",USD"
BALANCES,666283.15 RATE  4.500 03-20-19 TO 04-19-19 DEBIT BAL,,,,,
USD999997,04-19-19 WAS1032600.87,,,,,
"04/25/19 04/23/19 SOLD,TWITTER INC COM AVERAGE UNIT PRICE TRANSACTION,""-3,000.000"",39.1813,,""117,439.46"",USD"
TWTR,YOUR BROKER ACTED AS AGENT,,,,,
"04/26/19 04/24/19 PURCHASED,TESLA INC COM AVERAGE UNIT PRICE TRANSACTION,400.000,258.9063,,""-103,664.52"",USD"
TSLA,YOUR BROKER ACTED AS AGENT,,,,,
"04/29/19 04/25/19 PURCHASED,AMAZON COM INC AVERAGE UNIT PRICE TRANSACTION,60.000,""1,909.7000"",,""-114,684.00"",USD"
AMZN,YOUR BROKER ACTED AS AGENT,,,,,
04/29/19 YOUR OPTION EXPIRED,NFLX 04262019 P 360 CREDIT ACCOUNT,-10.000,,,0.00,USD
99QAPEI8W,,,,,,
"05/01/19 04/30/19 PURCHASED,PUT 100 APPLE INC COM EXP 05-10-19@190.000 OPTION,31.000,2.1000,,""-6,613.20"",USD"
99QAPJCJ7,ROOT= AAPL OPENING TRANSACTION EXCHANGE LISTED,,,,,
,OPTION AVERAGE UNIT PRICE,,,,,
"05/02/19 04/30/19 SOLD,AMAZON COM INC AVERAGE UNIT PRICE TRANSACTION,-60.000,""1,917.4620"",,""114,943.33"",USD"
AMZN,YOUR BROKER ACTED AS AGENT,,,,,
"05/02/19 04/30/19 SOLD,NETFLIX INC COM AVERAGE UNIT PRICE TRANSACTION,-500.000,372.2075,,""185,997.89"",USD"
NFLX,YOUR BROKER ACTED AS AGENT,,,,,
"05/02/19 04/30/19 SOLD,TESLA INC COM AVERAGE UNIT PRICE TRANSACTION,-400.000,239.0575,,""95,519.02"",USD"
TSLA,YOUR BROKER ACTED AS AGENT,,,,,
